Culture Name,Affinity Image,Affinity,Trait Effect,Emblematic District Image,Emblematic District Name,Emblematic District,Emblematic Unit Image,Emblematic Unit Name,Emblematic Unit
Chimu,/Humankind-Culture-Viewer/Images/Affinity/merchant_affinity.png,Merchant,"Per adjacent Ruin
+50% Food on Farmers Quarters
+50% Industry on Makers Quarters
+50% Money on Market Quarters
+50% Science on Research Quarters
+50% Influence on Commons Quarters
+50% Stability on Commons Quarters
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Sacred Ruin,"+3 Influence
Per Ruin in this city:
+1 Money
+1 Faith
On religious districts in this city:
+1 Money
+1 Faith
Counts as Ruin
Counts as Religious District
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Bolas Throwers,"Replaces Crossbowmen
27 Combat Strength (instead of 31 for Crossbowmen)
Targeted units may not move during the next round of battle



"
Haida,/Humankind-Culture-Viewer/Images/Affinity/aesthete_affinity.png,Aesthete,"Only during the Medieval Era:
Does not gain Money per turn
Negative Money per turn still possible
+1 Influence per 25 stockpiled Money
After the Medieval Era:
+1 Influence per 25 Money per turn
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Gyaa'aang,"+3 Faith per Era
+5 Stability per Era
+2 Influence per adjacent district
Counts as Commons Quarter
Counts as Religious District
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Qiidaaw,"Replaces Great Swordsmen
35 Combat Strength (same as Great Swordsmen)
Ranged units attacking this unit have -8 Combat Strength (as though they are fighting in melee)
Does not require Iron to build
Unlocks at Heavy Infantry (same as Great Swordsmen)




"
Majapahit,/Humankind-Culture-Viewer/Images/Affinity/expansion_affinity.png,Expansionist,"+5 Stability per open Specialist Slot in all cities
Specialist slots are Farmer/Worker/Trader/Researcher slots
Population never lost to starvation in the capital
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Desa,"Four types of Desa - Quarter Types {Food, Makers, Market, Research}
Replaces {Quarter Type} Quarter
-5 Stability (instead of -10 for {Quarter Type} Quarter)
+2 {Quarter Type} Slots
Can be built multiple times in one territory
Counts as {Quarter Type} Quarter",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Cetbang,"Replaces Trebuchet
38 Combat Strength (instead of 26 for Trebuchet)
Does not auto-generate during sieges (must be built like any other unit)
May not retaliate when attacked
Unlocks at Military Architecture (same as Trebuchet)



"
Malians,/Humankind-Culture-Viewer/Images/Affinity/scientist_affinity.png,Scientist,"+5 Science per territory following your State Religion
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Madrasah,"+1 Science per Faith produced in this territory
+1 Money per land trade route in this city
+2 Money per adjacent Research Quarter
+2 Science per adjacent Market Quarter
Counts as Market Quarter
Counts as Research Quarter
Counts as Religious District
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Quivermen,"Replaces Crossbowmen
26 Combat Strength (instead of 31 for Crossbowmen)
Can fire without line of sight
Fights at full strength in melee
Unlocks at War Summons (same as Crossbowmen)





"
Medang,/Humankind-Culture-Viewer/Images/Affinity/agrarian_affinity.png,Agrarian,"+1 Holy Site cap
+2 Faith on Farmers Quarters
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Borobudur,"Unique Holy Site
+20 Faith
+20 Stability
+1 Food per State Religion Follower
+3 Food per adjacent Farmers Quarter
Must be built in a city with at least 3 Farmers Quarters
May be built as many times as you have available Holy Site slots
Counts as Holy Site
Counts as Religious District
Unlocks at Theology
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Armed Peasantry,"Replaces Peasants
28 Combat Strength (instead of 27 for Peasants)
+3 Combat Strength when on a friendly district
Does not auto-generate during sieges (must be built like any other unit)
Unlocks at Feudalism (same as Peasants)



"
Palas,/Humankind-Culture-Viewer/Images/Affinity/scientist_affinity.png,Scientist,"On Research Quarter:
+2 Influence
+2 Faith
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Mahavihara,"+3 Science
Per adjacent Research Quarter:
+2 Faith
+1 Faith
+2 Science per adjacent city or outpost following your State Religion
Counts cities and outposts with territories adjacent to the territory in which the Mahavihara is built
+1 Researcher Slot
Counts as Research Quarter
Counts as Religious District
Unlocks at Theology
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Elephant Corps,"Replaces Knights
42 Combat Strength (instead of 36 for Knights)
Ignores enemy zones of control
Cannot be bought out
Must be built with Industry, cannot instantly complete by spending Population
Unlocks at Chivalry (same as Knights)





"
Qusqu,/Humankind-Culture-Viewer/Images/Affinity/builder_affinity.png,Builder,"+5 Industry on generic Makers Quarter in overpopulated cities
Effect does not apply to emblematic districts that count as Makers Quarters
Overpopulated cities are cities that have more Population than they have Specialist Slots
-10% Industry cost for all shared projects
Shared projects are any constructions that can share cost across cities, like Wonders
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Khipu Kamayuqkuna Guild,"-3% Population consumption in this city
-10% Food cost of overpopulation in this city
+1 Industry per overpopulation in this city
+2 on adjacent Farmers Quarters
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Mountain Slingers,"Replaces Crossbowmen
32 Combat Strength (instead of 31 for Crossbowmen)
5 Movement (instead of 4 for Crossbowmen)
+3 Combat Strength when fighting a unit on a lower tile
Stacks with normal bonus from elevation
Unlocks at War Summons (same as Crossbowmen)




"
Rus',/Humankind-Culture-Viewer/Images/Affinity/aesthete_affinity.png,Aesthete,"+50% Influence on Main Plazas built on rivers
-10% territory attachment cost per river Exploitation in territory
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Merchants’ Church,"Must be built adjacent to a river
+2 Faith
+2 Faith per adjacent river
+5 Money per luxury resource extractor in this city
+5 Stability
+1 Trader Slot
Counts as Commons Quarter
Counts as Religious District
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Boyar Cavalry,"Replaces Knights
35 Combat Strength (instead of 36 for Knights)
+5 Combat Strength when Stability is high
When empire Stability is >90%
Unlocks at Chivalry (same as Knights)

Historical Background:
Founded by Viking traders and voyagers in the 9th century, the Rusâ€™ were Slavic peoples who traded and settled along the many river routes connecting the Baltic and Black Seas. With religious influence from the Byzantine Empire, the Rusâ€™ were eventually converted to Christianity and adopted many classically Byzantine cultural and religious traditions. Though the Rusâ€™ eventually splintered into many competing states, their empire was the first to unite the East Slavs and many later states have claimed descent from the empire.




"
Medieval Swiss,/Humankind-Culture-Viewer/Images/Affinity/agrarian_affinity.png,Agrarian,"-1% Population consumption per Farmer in all cities
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Sennerei,"+5 Food
+1 Money
Per adjacent Farmers Quarter:
+2 Food
+1 Money
+5 Food per adjacent Mountain
Counts as Farmers Quarter
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Gevierthaufen,"Replaces Pikemen
35 Combat Strength (instead of 31 for Pikemen)
Has no upkeep cost
Costs 2 Population to build (instead of 1 for Pikemen)
Unlocks at War Summons (same as Pikemen)





"
Tang,/Humankind-Culture-Viewer/Images/Affinity/expansion_affinity.png,Expansionist,"+2 Influence per Researcher
+5 Stability on Research Quarters
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Examination Hall,"+3 Science
+2 Science per city in your empire
+1 Science per outpost in your empire
+1 Influence per outpost in your empire
+1 Researcher Slot
Counts as Research Quarter
",/Humankind-Culture-Viewer/Images/CultureSuperPack.png,Jin Jun,"Replaces Pikemen
32 Combat Strength (instead of 31 for Pikemen)
+5 Combat Strength when Stability is high
When empire Stability is >90%
Unlocks at War Summons (same as Pikemen)




"
